date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:26	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1681195923-ssl-df	https://techfiesta.netlify.app/robots.txt		(from )
12:05:27	40946/40946	---MCZ	200	added ('OK')	text/html	etag:%228279b9d965d7890e392724cf5e310cb4-ssl-df%22	https://techfiesta.netlify.app/	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/index.html	(from )
12:05:28	180715/180715	---M--	200	added ('OK')	image/png	etag:%22913ef134e0e5dd0ab583f470805c71a1-ssl%22	https://techfiesta.netlify.app/assets/img/festlogo1.png	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/img/festlogo1.png	(from https://techfiesta.netlify.app/)
12:05:29	1738/1738	---M--	200	added ('OK')	image/png	etag:%22a944c76e71c0ec2af2f8fb277bf173a6-ssl%22	https://techfiesta.netlify.app/assets/img/apple-touch-icon.png	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/img/apple-touch-icon.png	(from https://techfiesta.netlify.app/)
12:05:31	71750/71750	---MCZ	200	added ('OK')	text/css	etag:%22bd412ba7a498ecf65dcec6077c5d0cb6-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/animate.css/animate.min.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/animate.css/animate.min.css	(from https://techfiesta.netlify.app/)
12:05:32	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%22ee61feff93cef5568ebb39efb2ebe3a1-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/aos/aos.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/aos/aos.css	(from https://techfiesta.netlify.app/)
12:05:33	154875/154875	---MCZ	200	added ('OK')	text/css	etag:%2253eac037065d33c2413e64f162a441da-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://techfiesta.netlify.app/)
12:05:34	63666/63666	---MCZ	200	added ('OK')	text/css	etag:%221a9cc36e11633b75f7e079562c98b993-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://techfiesta.netlify.app/)
12:05:34	63235/63235	---MCZ	200	added ('OK')	text/css	etag:%22ad313ab15ddbfdc3c8703acf8ac889e5-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/boxicons/css/boxicons.min.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/boxicons/css/boxicons.min.css	(from https://techfiesta.netlify.app/)
12:05:35	13775/13775	---MCZ	200	added ('OK')	text/css	etag:%22c3aa5b37f27917a7e55a13985b3ee3e6-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/glightbox/css/glightbox.min.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/glightbox/css/glightbox.min.css	(from https://techfiesta.netlify.app/)
12:05:36	13916/13916	---MCZ	200	added ('OK')	text/css	etag:%228c72ede63d67eeeb2a040df160a7e0db-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/swiper/swiper-bundle.min.css	(from https://techfiesta.netlify.app/)
12:05:37	44504/44504	---MCZ	200	added ('OK')	text/css	etag:%22493fccb33554b8a1cdd7a0a4ced33ecd-ssl-df%22	https://techfiesta.netlify.app/assets/css/style.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/css/style.css	(from https://techfiesta.netlify.app/)
12:05:37	40946/40946	---MCZ	200	added ('OK')	text/html	etag:%228279b9d965d7890e392724cf5e310cb4-ssl-df%22	https://techfiesta.netlify.app/index.html	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/index-2.html	(from https://techfiesta.netlify.app/)
12:05:38	10228/10228	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%229837a730d1ccba52036289c9e8fd841b-ssl-df%22	https://techfiesta.netlify.app/Modules/cs.html	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/Modules/cs.b.delayed	(from https://techfiesta.netlify.app/)
